,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[649],57.919,1.636,54.836,60.897,0.021,0.029,6327.0,2544.0,1.0
mu[650],58.923,1.644,55.919,62.01,0.021,0.029,6015.0,2629.0,1.0
mu[651],63.388,1.655,60.323,66.506,0.019,0.03,7490.0,2693.0,1.0
mu[652],61.375,1.679,58.14,64.402,0.02,0.031,7281.0,2572.0,1.0
mu[653],62.384,1.648,59.18,65.28,0.019,0.031,7729.0,2663.0,1.0
mu[654],61.614,1.672,58.575,64.791,0.019,0.03,7406.0,2638.0,1.0
mu[655],62.623,1.635,59.523,65.586,0.018,0.03,8106.0,2552.0,1.0
mu[656],63.627,1.652,60.613,66.719,0.019,0.03,7724.0,2476.0,1.0
mu[657],61.189,1.679,57.961,64.099,0.02,0.029,7091.0,2388.0,1.0
mu[658],62.198,1.655,59.167,65.247,0.019,0.03,7743.0,2574.0,1.0
mu[659],63.203,1.657,60.128,66.23,0.019,0.03,7267.0,2282.0,1.0
mu[660],55.416,1.646,52.305,58.475,0.019,0.025,7613.0,3295.0,1.0
mu[661],59.171,1.612,56.082,62.148,0.018,0.025,7694.0,3222.0,1.0
mu[662],59.079,1.795,55.81,62.55,0.021,0.027,7522.0,2958.0,1.0
mu[663],57.112,1.615,53.841,60.046,0.022,0.025,5533.0,3278.0,1.0
mu[664],57.019,1.797,53.602,60.335,0.024,0.027,5814.0,3369.0,1.0
mu[665],53.357,1.65,50.149,56.414,0.022,0.026,5635.0,3256.0,1.0
mu[666],57.822,1.644,54.686,60.83,0.019,0.026,7629.0,3125.0,1.0
mu[667],61.485,1.781,58.233,64.831,0.02,0.027,7801.0,3452.0,1.0
mu[668],61.577,1.614,58.511,64.566,0.018,0.026,7677.0,3322.0,1.0
mu[669],61.724,1.805,58.499,65.347,0.021,0.029,7580.0,3211.0,1.0
mu[670],61.816,1.612,58.935,65.126,0.018,0.026,7705.0,3122.0,1.0
