mix,start_seconds,end_seconds,mono_corr,stereo_width_diff_db,crest_diff_db,imbalance,simple_score
UCP-A1,54.0,60.0,0.2322660902751325,-0.7734386047648805,0.5808844000282605,-0.0012783147482221795,0.5693197818364144
DU-N,34.0,40.0,0.6547141772570246,0.19831234170468548,-3.1355326910790513,-0.019452467223301486,0.5694860745142004
UCP-A2,58.0,64.0,0.21503697534664235,-0.43244270508856,1.490463251075763,-0.010278923847952308,0.5697168895123598
UCP-A2,22.0,28.0,0.19687655582665498,0.761929415689103,0.2833477060469889,-1.1291941503991935e-05,0.5897137520982899
DU-M,42.0,48.0,0.3954357054281451,-0.7619836082232094,-1.462947930250163,-0.0001354576454857813,0.6004339936491292
UCP-A1,50.0,56.0,0.21881398654641807,-0.7394990809387743,0.7439554073034138,-0.0048634990525009865,0.6037148784720632
McG-A,18.0,24.0,0.0683805242741261,-0.16050631194951492,0.7395039515685866,-0.0005108601416134974,0.6144177001617933
UCP-A1,34.0,40.0,0.18459063163810382,-0.7945920420181682,-0.24174688928997767,-0.010032727768460408,0.6243767911263731
McG-E,54.0,60.0,-0.013327529635458241,-0.09272299469518508,0.04101516340451994,0.004707378870511178,0.6391688311291871
DU-N,58.0,64.0,0.6635278472127171,0.8212712751598676,-1.5265929327656735,-0.002005752698494154,0.6396245774947849
UCP-A2,34.0,40.0,0.1724090145779508,-0.5492162728700549,-1.034542742774729,-0.0185579973283974,0.6449715186953353
UCP-A1,42.0,48.0,0.24915971889706187,-1.1812366090365582,0.08458620406963391,-0.00048250343056183836,0.6649867973346004
PXL-S6,10.0,16.0,0.22767960693225006,0.8576881675464723,-0.96253748374669,-0.003098039180409045,0.6778654924707395
DU-L,26.0,32.0,0.6610900265098926,1.1702346572032916,0.6664510854311914,-0.022110803170821314,0.6850849914163245
PXL-S6,14.0,20.0,0.2303956416712566,0.7828355946000656,-1.3586637340916035,-0.0034703451700508125,0.6944260740712602
McG-E,50.0,56.0,-0.000838150379170958,-0.04035411641845066,0.9591331550254232,0.005400238637531406,0.7257233322213807
DU-N,62.0,68.0,0.653589026415363,-1.4506329312276343,0.013424519642171617,-0.002877886217429145,0.7273301435601429
QUT-C,42.0,48.0,-0.011090229196257921,0.2698838145104201,0.2012140621984777,-0.0016039348299115204,0.7473044749774975
UCP-A1,46.0,52.0,0.24971902188019393,-1.2953747241125093,0.36883239375780974,-0.00593341564947658,0.7635741773595384
PXL-S6,22.0,28.0,0.2281894330595384,0.8755066613674831,-1.5420960516400157,-0.008519199301233949,0.7726888723106671
UCP-A2,38.0,44.0,0.16154398902983533,-0.9175326011125762,-0.5403073612411191,-0.0065782854494722265,0.7767244266827853
DU-L,22.0,28.0,0.6831914180276001,1.4967054844080234,-0.2822466474994627,-0.026328796882187883,0.7906897393289312
DU-N,54.0,60.0,0.6693313222267366,0.8541668674257394,-2.4591580397582113,0.0011312855515643043,0.7959571396766014
